Complexity_level,text
L-X,My theory's that light travels in waves because when we did an experiment with progesterone and a tennis ball hanging from the vealing on a piece of string And when we shone light on it the tennis balls shader was clear But the strings shadow had some light on it 
L-X,Dull dark surfaces do not reflect much light so they are perfect for solar panels instead they absorb the suns rays and turn them into thermal energy this means that on a roof there are dark hoses of water  The water heats up because the hoses are absorbing the suns rays and they are isolated The heated water is pumped into a storage tank where it used to heat the house  
L-X,I also learned that a solar eclipse happens when the moon blocks the sun which makes a large shadow over the earth That is why when your outside and the sun dispersals its just a large shadow 
L-X,I also learned that a lunar eclipse is caused when the earth is between the sun and the moon 
L-X,Also if your looking at a yellow flower the blue light would be absorbed allowing the two other colors to both making yellow would bounce of into your two sensitive cone to those colors 
L-X,The Northern lights are caused by the sun bombarding the earth with tiny partials of electricity When these partials hit the highest part of the hates atmosphere it electrolysis the air and makes it glow 
L-X,To make a rainbow with rain it in voles moisture in the air and since there is moisture in the air the moistness acts like a prism 
L-X,When looking at a red rose you need light right You do so when your looking at that objetc the light shines on it and since it is red it refletcs the red light off the objetc and all the other colors get absorbed Its the same with any other color including yellow green etc 
L-X,A lunar eclipse is when the earth is right in between the sun and the moon winch casts a shadow over the moon making the moon total darkness 
L-X,Solar panels are used for sucking up sunlight and using the sunlight for something such as a solar powered windmill That works by the sunlight getting sucked into a solar panel and the light moves the windmill 
L-X,A red rose looks red because the red light in the white light reflects of the rose and in to your eyes the blue and green light gets absorbed 
L-X,A yellow flower looks yellow because the red and the green light in the white light are reflexed in to you eyes and the blue is absorbed 
L-X,Shadow darkness made when light shines on an opaque nontransparent object If the light shines on an opaque object it is imposable for the shadow to be on the same side the light is coming from unless there is a mirror If there is no light there isn't a shadow So there is a shadow where the light cant reach 
L-X,A lunar eclipse is when the earth is between the sun and the moon and it casts a shadow over the moon 
L-X,Inside luminous objects or animals some form of energy changes into light energy This energy usually changes into chemical electrical thermal and nuclear energy The process of giving off light is called incandescence 
L-X,You have three eye cones in your eyes One is sensitive to red one is sensitive to blue and one is sensitive to green so when you see something blue the blue eye cone starts getting sensitive so you can see the color 
L-X,When we look at a red rose the red eye cone color bounces off into our eye and the other two colors absorb so you see the color of the rose 
L-X,When we had the class debate I was the only student who was not on a side because my theory was light travels in waves but the waves go in a strait line and the debate was between straight line and waves And now we have lots of ideas from the debate and we don't know which one is right now is light travels sort of like this Light travels in a straight line but appears to be wavy or light travels in waves but appears to be straight That means that light has aspects of both straight lines and waves It depends on how you look at it Or what your experiment is trying to prove In our class we have seen experiments that prove both that light travels in straight lines box with powder and shadow experiments and wavy lines Thomas Young experiment 
L-X,My understanding of Light The colors of light Light is made up of many many different colors You cannot see those colors because those colors mixed together to get white light White light is transparent so you cant see it 
L-X,When it rains the raindrops split the light so you can see 7 discolored orange yellow green blue indigo and violet that make a rainbow 
L-X,The way you see what color everything is is because of light hitting your eye when their is a green leaf the light hits it before it splits up it is called white light the green leaf absorbs the other colors but the green keeps going because it is the same color The green light keeps going until it goes into your eye Then the brain identifies what color and it is 
L-X,Cones tire easily If you were looking at a green apple the cone that responds to green light gets tired So when you look at a piece of white paper the green cone would be to tired but the red and blue wouldn't and red and blue make purple And purple is the opposite of green on the color wheel 
L-X,This is why the colors of the rainbow are in the same order As you know there are seven colors that we know of They all travel at a the same wave frequency and they get mixed But when light goes through something like rain the frequency of the light waves get differed For some reason red always has the longest frequency and purple has the shortest 
L-X,That is why when you look at a yellow thing the red and green light bounce of it but blue gets absorbs mixes and comes to your eye as yellow 
L-X,A thing that involves color and is very magnificent is the northern lights This happens because of magnetic disturbances of the sun The sun sends out particles of electricity that are microscopic The earths atmosphere makes the air electrified and then it glow The colors that glow are red pink and green 
L-X,There are also things called solar panels They are made to catch light The light that they catch is used to make electricity Solar panels probably have a lot of tubes connected 
L-X,A shadow is the darkness on the other side of an opaque object whits is nontransparent When a light shines on an opaque object the light cant get around it so there is only darkness whits is a shadow 
L-X,A lunate eclipse is when the art goes between the moon and the sun The sun hits the eart and the eart casts a shadow on the moon winch give the moon total darkness 
L-X,A solar eclipse is when the moon is in the middle and blocks the light from hitting the earth making that side dark 
L-X,1 How do you think light travels My theory is that since light doesn't travel on anything it has to make enough energy to keep going My theory is that there are little wavelets of energy that travel inside bigger straight lines Like a flashlight That also explains why light is hot 
L-X,People make shadows by just standing in the light Because light travels in a titrate line or Waveland it hits a portion or thing and the blocks the light so it cant reach the ground and thee for makes an outline of that object 
L-X,Shadow My theory is that all the light gets around but it doesn't get past your body so it is dark and the shape of your body 
L-X,A lunar eclipse is when the earth is between the sun and the moon and it casts a shadow over the moon 
L-X,A solar eclipse it happens when the moon is located between the sun and the earth and the moon blocks the sunlight 
L-X,Solar energy Solar panels are dark so they attract heat and the sun is turned into thermal energy In the panels there are little tubes and the water gets warmer the warm water is pumped into a storage tank and it heats the house 
L-X,The Northern lights are red pink ghostly greens the Northern lights happen when the sun bombards earth with particles that are electric When they hit the highest part of the earths atmosphere they electrify the air and it glows 
L-X,A lunar eclipse is when the earth is between the moon and the sun in which the sun shines on earth and makes a shadow on the moon which makes the moon in total darkness 
L-X,If a white light is shined on a red flower the green and blue is absorbed and the red is reflected that is how we see a red flower 
L-T,there are two parts of a shadow a umbra dark part which is in the middle and penumbra light part is on the outside part 
L-T,Your eyes cant fully adjust to the dark but they can a bit my eyes have never fully adjusted to the dark but I have had light near and it was dark because I was near a lot of light then it suddenly changes my body wont react too fast but it can wait a few seconds and it will think I have Benn there long enough but with no light I don't think your eyes can adjust to a perfectly dark room 
L-T,Lasers are a very very strong source of light they are so hot that they can cut through metal bars with ease diamond sellers cut Simmonds which is one of the hardest substances on earth  
L-T,Transparent means full SE through so nontransparent means opaque non SEe through 
L-T,Aura Borealis commonly none as the northern lights are a form of colored light is usual found in the north pole but it can go south like to France or Italy The natives feared them because they thought they were evil things 
L-T,Photoluminescence is when an animal makes it one light FACT over 70 of the worlds deep sea fish are photoluminescence fireflies are also photoluminescence 
L-T,photoluminescence is when creatures in small dark places can make them selfs viable for example fire flies have photoluminescence and their is this kind of fish that has a little light on its head 
L-T,those are the colors of your eye cones What I mean by your eye cones is you have eye cones is that you have cones in your eyes that are shaped like ice cream cones by mixing them you get the Secondary colors 
L-T,The Secondary colors of light are made by mixing the Primary colors of light here are the Secondary colors of light  Yellow Magenta and Cyan here is how their made  
L-T,the Northern lights are branches of colored light in the sky you can only see them in the north pole but some times you can see them in muskox in the winter 
L-T,A transparent object is something you can see though like Stephanie light can go right though it 
L-T,A translucent object is some thing that you can kind of see though like paper paper is sort of dark sort of light  
L-T,When you have two light sources facing on one thing and there turned on you see two shadows And the same thing happens when you have three light sources are there but three shadows appear 
L-T,If you add light to a prism it should change the white light into the colors of the rainbow Red Orange Yellow Green Blue Violet and Indigo
L-T,My understanding of natural and artificial light is that living things make there own light like fireflies squids bacteria and fungi 70 present of the worlds deep sea fish make their own light 
L-T,Lasers can burn through the hardest substance like diamonds the hardest things on earth Laser can burn thousands of holes in 1 day 
L-T,The law of reflection is that if you shine light at a 90 degree angle it will be reflected as a 90 degree angle the light ray that egos to the flat mirror is called the incident ray and the ray that bounces off is called reflected ray 
L-T,its used in things like flashlights if we didn't use concave mirrors in flashlights it would be like a candle 
L-T,Convex lens with light rays will concentrate light making a focus point that is the most concentrated and after that it starts to get less concentrated 
L-T,I also learned that light can not go through an opaque object because it isn't transparent 
L-T,Another one of the things I learned was that in ancient times people used sundials to tell the time They could tell that the higher the sun was in the sky the shorter the shadow 
L-T,When light hits a double convex lens it travels together and hits and the light is concentrated at the focal point 
L-T,Lasers are very bright and they can burn through anything in the world It can burn through steel and chrome and cloth and iron and metal and everything 
L-T,When white light goes through a prism it will make a rainbow All the colors that come out of the prism will be rainbow colors
L-T,Chemiluminescence turns chemical energy into light I used to have glowing stars and a moon on the top of my closet so that is an example of chemiluminescence 
L-T,Making a rainbow with rain is when its raining lightly and the sun is out An example is when you turn on a sprinkler and the sun is shining 
L-T,when light hits a flat mirror the angle of incidence equals the angle of reflection When an incident ray hits a 40 degree angle it will come out a 40 degree angle 
L-T,A translucent object is not see through That means that you cant look through it But a little light can come through A translucent object can be a pace of paper and an mica computer 
L-T,A concave mirror has a sort of cave shape We have mirrors that are flat the mirror that I am talking about is that mirror but pushed in This mirror looks like a bowl When you look into it you see a long shape of yourself 
L-T,a convex mirror is the very opposite This mirror is pushed out This mirror looks like a belly As we gr 4 call it a belly mirror when you look into one of these mirrors you see yourself up side down 
L-T,concave lens heal near sided people see far sided The light rays goad through the eyes and connect at the back of the head 
L-T,lasers are very bright and very strong They can go through anything If you put a red balloon inside a a white balloon and shine a laxer on it the balloon will pop 
L-T,a shadow wilel appear when you are facing north Your shadow wilel be in front of you If you are facing south your shadow wilel be behind you And if you are facing east your shadow wile be on your right and if you are facing west your shadow is on your left 
L-T,To make white light is to shine blue light red light and green light Shine all of the colors in the same spot Then you will see white light Here is a picture to make it more simple 
L-T,Light can be diffused when light is shone and hits a bumpy mirror and reflects and the light spreads out like a concave lens  whits is called diffused reflection 
L-T,To make a rainbow withs prism is simple  Just get a prism and go outside Then hold the prism in the air and you'll see a rainbow But sometimes you can not see all the colors
L-T,Co lours of light You can make white light by mixing red green and blue  primary colors of light light together 
L-T,The secondary colors of paint are orange  green and violet and they are the colors that the primary colors make when they mix each other 
L-T,There are three rinds of eye cones in your eyes They are red green and blue They are sensitive to objects that are either yellow red green blue cyan or magenta 
L-T,The gilt rays from a convex lens go inwards into a point That point is the meeting place of the light 
L-T,Your eyes can adjust to darkness after a few minutes in pitch blackness In a movie theater the movie has light on the screen but it isn't very bright But at least you can see the outlines of the people that you are sitting between 
L-T,The angle incidents equals the angle of reflection 
L-T,A defuse reflection happens when light hits a bumpy mirror 
L-T,When two different colored lights hit an nontransparent object it makes two different colored shadows one that is on one side of the nontransparent object and one that is one the other lets say that the two different colored lights where red and green and you shined those lights on each side of an nontransparent objects ball One shadow will be green and the other will be red but on either side of the nontransparent object 
L-T,There are many theories about light there is the straight line theory that is when light travels in straight lines only There is also a theory that is called ripple waves that is when you tutu still water and it makes ripple waves the man that discoverer ripple waves was Christian Huygens The other theory is the combo theory that is when the waves are in the straight lines And there is the cancel out theory and that is where the straight lines cancel the waves 
L-T,You have three eye cones in your eyes one is red and one is green and one is blue They are all sensitive to there own colors 
L-T,The next view is the Co lours of Light view with rainbows A rainbow is created when white light hits though a prism and makes a rainbow You can also diffuse a rainbow by letting the light make a rainbow and put another prism beside and it and it creates white light again
L-T,when light hit a concave mirror the light rays go everywhere but when light rays hit a convex mirror they act normally 
L-T,You have three eye cones a blue cone a red cone and a green cone The red cone is sensitive to red light the green cone is sensitive to the green light and the blue cone is sensitive to blue light 
L-T,We have 3 different eye cones The 3 eye cones are 3 different colors those colors are red green and blue 
L-T,A concave mirror looks like a bowl When light hits a concave mirror it bounces of like in the picture below 
L-T,There is some thing called the law of reflection The law of reflection on a flat mirror is when the light bounces of the mirror at the same angle it came on to the mirror 
L-T,A diffused reflection happens on a bumpy mirror Its when all the light goes in lots of directions 
L-T,Objects that give off their own light are called luminous objects Light sources don't have to be natural to be luminous The sun is luminous as well 
L-T,Thermoluminescence is different souses that glow by friction and can create blue sparks One of these sources is wintergreen Life Savers If you are chewing one turn the lights of  Look in a mirror while chewing Look in your mouth and you will see the candy brakes up in to blueish green sparks 
L-T,Cones are things that respond to colored light There are three kinds of light that cones respond to Red blue and green 
L-T,Light is the colors of the rainbow compressed to make white light A prism splits up light into separate colorsred orange yellow green blue indigo violet 
L-T,There are different names for the colors of light Those names are the primary colors of light and the secondary colors of light There not just named orally The primary colors are the first colors that make up the secondary colors 
L-T,The primary colors are red blue and green The same colors as your eye cones 
L-T,A convex mirror is shaped like a belly and a concave mirror is shaped like a cave 
L-T,A concave mirror concentrates the light and a convex mirror does the opposite 
L-T,A convex mirror since it spreads the light out lets you see more of the stuff behind you A concave mirror since it concentrates light lets you see close up Concave mirrors are used by doctors to see up close 
L-T,They also have something called the law of reflection The law of reflection is the angle of incidence equals the angle of reflection To clarify that if light hits a flat mirror at say a 75 degree angle it is going to come off the mirror at a 75 degree angle 
L-T,You can add another lens to one of those lenses also A double concave lens would spread out the light and a double convex would concentrate the light 
L-T,There are two kinds of light Natural and artificial Natural light is light from a natural light source and artificial light is something that is made from a artificial light source like light bulbs 
L-T,But first natural light There are two sections that I am going to write about First photoluminescence Photoluminescence is made from a living thing Like electric sale They make their own light Therefore electric sale are electroluminescent So are glow worms squids fireflies and even bacteria and fungi 
L-T,The second thing is fluorescence That is made with friction Like when two stones rub together They make fire whits is heat and light That is fluorescence 
L-T,News flash If you put a red balloon inside a white balloon and shine a laser at it the laser will pop the red balloon but the white balloon will be unharmed 
L-T,And umbra is made when you shine a light source over an object that is bigger than the light source That makes a big shadow that is pretty darker 
L-T,A penumbra is when you shine a light source on something that is smaller than the light source That makes a little umbra and a penumbra which is lighter 
L-T,Eye cones are things that are in your eyes and they see every thing is upside down The image goes threw the eye cone and to the brain and the brain turns it rightsize 
L-T,fl you want to make a rainbow you put a prism down and you shine a flashlight at it All the colors will come out the other side
L-T,An umbra is a dark shadow and a penumbra is a light shadow for instance if a light is really dim you will have a penumbra if the light is sting its an umbra 
L-T,We did an ensnarement with different colored projector lenses and an opaque ball handing from the sling and we saw shadows First we saw 1 shadow when we terned on 1 light there was a dark shadow when we turned on 2 lights there were 2 light shadows and uprise surprise when we toned on all the lights there were 3 light shadows 
L-T,Shadows on the earth are not completely black but the shadows on the moon they are 
L-T,The rainbow is made up of colored light The colors of the rainbow are red orange yellow green blue indigo and violet 
L-T,There are three eye cones in our eyes and the colors are red green and blue 
L-T,A concave object is is pushed back and if you look into a concave mirror you see yourself upside and 
L-T,a convex object is pushed out and if you look into a convex mirror you see yourself right side up but you are very large 
L-T,When colored light is shined at a opaque object the shadow is black like a normal shadow but when you shine two colored lights there are two shadow and the colors are the colors of the light 
L-T,Sundials are a form of telling time You can tell the time by the position of the shadow 
L-T,Shadows also are used to tell directions like north and south you also look at the shadow and that will tell you the direction you are walking in 
L-T,A concave mirror is a mirror that goes in and when light is shewn on it the light gets focused 
L-T,A convex mirror is a mirror that goes out and when you shine light on it the light bounces off straight looking 
L-T,All of the secondary colors mixed together equals white light 
L-T,A transparent object is clear and lets 100 light pass through 
L-T,A translucent object is clear swell but only lets 50 go through 
L-T,An opaque object lets 0 through 
L-T,The law of reflection on a flat mirror is The angle of incidence equals the angle of reflection 
L-T,The secondary colors are yellow cyan and magenta yellow indigo and purple 
L-T,Red and blue make magenta 
L-T,Blue and green make cyan and 
L-T,green and red make yellow 
L-T,All three primary colors make white 
L-T,Light and materials The most useful materials to use in experiments about light are lenses and mirrors But first mirrors There are two kinds of mirrors There names are concave and convex 
L-T,You cant forget flat mirrors There sort of in the middle Flat mirrors are pretty important to 
L-T,That law only works for smooth mirrors though 
L-T,On bumpy mirrors the reflected ray would go in all directions That is a called a diffused reflection 
L-T,Now lenses There are two kinds of lenses Concave and convex Just like the mirrors they do the same things 
L-T,Lenses are transparent 
L-T,There are two other forms that Translucent and opaque 
L-T,A transparent object means see through 
L-T,a translucent object colors the light and 
L-T,an opaque object means that it stops the light completely 
L-T,Now  artificial light First chemiluminescence Chemiluminescence is when chemicals react to make light 
L-T,Then there are lasers Lasers are extremely bright and very strong They can go through anything 
L-T,There are two different ways you can play with shadows One is an umbra and the other is a penumbra 
L-T,Those are the small the things to do with shadows but there are much bigger things Those things are eclipses There are two eclipses that we know of Solar and lunar 
